title,overview,genres,tagline,vote_average,popularity
Avengers: Endgame,The surviving Avengers assemble once more to reverse Thanos' actions and restore balance.,Action Adventure Science Fiction Drama,Part of the journey is the end,8.3,95.0
Iron Man,A billionaire industrialist and genius inventor is kidnapped and builds a powered suit of armor.,Action Science Fiction Adventure,Heroes aren't born. They're built.,7.7,84.0
Coco,Aspiring musician Miguel enters the Land of the Dead to find his great-great-grandfather.,Animation Family Fantasy Music,The celebration of a lifetime,8.2,82.0
Up,Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons.,Animation Comedy Adventure Family,Fly to South America,8.0,79.0
WALL·E,In the distant future a small waste-collecting robot embarks on a space journey.,Animation Science Fiction Family Romance,After 700 years of doing what he was built for he'll discover what he's meant for.,8.1,78.0
Jurassic Park,A pragmatic paleontologist touring an almost complete theme park is tasked with protecting kids.,Adventure Science Fiction Action,An adventure 65 million years in the making,8.0,81.0
Eternal Sunshine of the Spotless Mind,A heartbroken couple undergoes a medical procedure to have each other erased from their memories.,Drama Romance Science Fiction,You can erase someone from your mind. Getting them out of your heart is another story.,8.1,72.0
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong.,Crime Drama Thriller,There are no clean getaways,8.1,73.0
Se7en,Two detectives hunt a serial killer who uses the seven deadly sins as his motives.,Crime Mystery Thriller Drama,Seven deadly sins. Seven ways to die.,8.3,82.0
Shutter Island,A U.S. Marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,Mystery Thriller Drama,Someone is missing,8.2,80.0
The Wolf of Wall Street,The story of a New York stockbroker who rose to a wealthy stockbroker living the high life to his fall.,Biography Comedy Crime Drama,Earn. Spend. Party.,8.0,85.0
